HM_F_BB_Ci(2.0_-2.0)_2_SS5_H_A_SRW_p_MAS,P3_F_BB_nCi_2_NS4_H_A_KA_h_MAS,RA_F_AB_nCi_2_NS6_H_n_D_SRW_e_MAS,RA_F_AB_nCi_2_NS6_H_n_D_SRW_m_MAS,RA_Q_AB_nCi_2_NS6_H_n_D_SRW_e_MAS,MX_F_AB_nCi_2_SS1_n_X_LGP[1-3]_e_MAS,MX_F_AB_nCi_2_SS1_n_X_NSRW_e_MAS,RA_B_AB_nCi_2_NS6_H_n_D_SRW_m-e_MAS,RA_Q_AB_nCi_2_NS6_H_n_D_SRW_m_MAS,HM_F_BB_nCi_2_NS4_H_A_SRW_e_MAS,MN_B_AB_nCi_2_NS1_T_NSRW_c-m_MAS,RA_Q_AB_nCi_2_NS5_H_n_D_SRW_e_MAS,MX_Q_AB_nCi_2_SS1_n_X_NSRW_e_MAS,MX_Q_AB_nCi_2_SS1_n_X_LGP[1-3]_e_MAS,HM_F_BB_nCi_2_NS5_H_A_SRW_e_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_LGP[1-3]_h_MAS,SD_B_AB_nCi_2_MP5_T_LGP[2-4]_e-p_MAS,MX_F_AB_nCi_2_SS1_A_LGP[1]_e_MAS,SD_B_AB_nCi_2_MP7_T_LGP[2-4]_e-p_MAS,MX_Q_AB_nCi_2_SS1_A_LGP[1]_e_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS5_H_A_LGP[1_2_6]_h_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_KA_h_MAS,GM_F_BB_Ci(2.0_-2.0)_2_SS5_H_A_SRW_p_MAS,classreal
0.266646092,39.93634772,1678.72,650.0608848,5774.7968,1.17625,1.17625,2236.209444,865.9408893,20.76323313,-0.511019642,1763.2064,3.47225,3.47225,22.57399737,32.52995868,0.195727774,1.92,0.198948154,6.03075,77.06261143,39.93634772,0.282643895,active
0.223035204,22.17178048,1678.72,650.0608848,5774.7968,1.17625,1.17625,2236.209444,865.9408893,18.20454534,-0.514514109,1763.2064,3.47225,3.47225,17.40892711,17.21351483,0.179928755,1.92,0.197074014,6.03075,52.56158029,22.17178048,0.240050173,active
0.249349788,23.54219002,1678.72,650.0608848,5774.7968,1.17625,1.17625,2236.209444,865.9408893,18.20454534,-0.514411148,1763.2064,3.47225,3.47225,17.40892711,18.68414704,0.196325271,1.92,0.215368604,6.03075,54.490708,23.54219002,0.27111357,active
0.273771282,67.01121703,1345.04,520.8479631,4626.9376,1.618125,1.618125,1791.716993,693.8173929,39.06544839,-0.80657226,1562.0352,4.3605,4.3605,87.29128968,64.3452222,0.109548216,1.7775,0.14142872,4.845,262.5620549,67.01121703,0.307565833,active
0.276165547,76.49023038,1345.04,520.8479631,4626.9376,1.428125,1.428125,1791.716993,693.8173929,39.39641731,-0.664495278,1562.0352,3.876,3.876,92.24119045,72.2667665,0.131333298,1.5875,0.173017632,4.743,283.109747,76.49023038,0.302131872,active
0.28086294,81.76593743,1345.04,520.8479631,4626.9376,1.428125,1.428125,1791.716993,693.8173929,41.03527422,-0.664794996,1562.0352,3.876,3.876,95.14971274,76.06837962,0.109875088,1.5875,0.138530498,4.743,294.5987772,81.76593743,0.308873045,active
0.230743873,29.3016794,0,0,0,1.098125,1.098125,0,0,25.3942136,-37.45054941,0,3.162,3.162,49.04832467,25.06570776,0.241359976,1.47,0.28576627,4.42,78.1346755,29.3016794,0.231021437,active
0.210094756,32.32501878,0,0,0,1.098125,1.098125,0,0,25.3942136,-37.28576862,0,3.162,3.162,49.04832467,27.93955563,0.229356382,1.47,0.269329209,4.42,62.66593076,32.32501878,0.210807814,active
0.314375978,36.66959556,0,0,0,1.098125,1.098125,0,0,27.68735874,-36.82029371,0,3.162,3.162,54.69429824,29.46773096,0.208673705,1.47,0.24453112,4.42,93.42171591,36.66959556,0.33778562,active
0.110027315,97.14363161,1644.32,636.7399651,5656.4608,2.38,2.38,2190.38548,848.196199,18.04021163,-0.298005307,1822.3744,7.5392,7.5392,14.47952325,87.89857969,0.146565022,3.68,0.193333461,11.7952,326.514095,97.14363161,0.145822387,active
0.150238457,63.96739552,1658.08,642.068333,5703.7952,2.38,2.38,2208.715065,855.2940751,17.87218426,-0.297978113,1834.208,7.5392,7.5392,14.28338951,53.63129327,0.317890273,3.699166667,0.386728893,11.7952,179.5400496,63.96739552,0.200533588,active
0.14651065,63.69374479,1658.08,642.068333,5703.7952,2.38,2.38,2208.715065,855.2940751,17.87218426,-0.297978098,1834.208,7.5392,7.5392,14.28338951,53.47890206,0.315917617,3.699166667,0.382200237,11.7952,186.7505316,63.69374479,0.194303164,active
0.144790439,62.16161452,1644.32,636.7399651,5656.4608,2.38,2.38,2190.38548,848.196199,17.96251019,-0.297978113,1822.3744,7.5392,7.5392,14.44192692,57.09282578,0.363482847,3.699166667,0.433363541,11.7952,207.402577,62.16161452,0.203964855,active
0.150108718,63.46012403,1658.08,642.068333,5703.7952,2.38,2.38,2208.715065,855.2940751,17.87218426,-0.297978113,1834.208,7.5392,7.5392,14.28338951,53.14077743,0.317062285,3.699166667,0.386389755,11.7952,182.0037144,63.46012403,0.200241795,active
0.213369784,78.94723872,1664.96,644.7325169,5727.4624,1.17625,1.17625,2217.879858,858.8430132,23.95891771,-0.5212948,1834.208,3.47225,3.47225,25.8575394,68.94194771,0.309315608,1.92,0.379196333,6.03075,254.0127484,78.94723872,0.250627356,active
0.454623144,93.11036833,775.2,297.376393,2356.608,1.418125,1.418125,904.0242346,346.7949768,47.20158295,-0.621044884,628.4288,3.87175,3.87175,107.3411954,86.2566121,0.268076502,1.2075,0.332216189,3.47225,342.4241978,93.11036833,0.463536117,active
0,0,0,0,0,1.60875,1.60875,0,0,0,-0.275880869,0,4.111875,4.111875,0,0,0,0,0,0,0,0,0,active
0.12826342,83.65149273,1644.32,636.7399651,5656.4608,2.38,2.38,2190.38548,848.196199,17.98319442,-0.298003656,1822.3744,7.5392,7.5392,14.45509953,77.18479272,0.357569265,3.699166667,0.448637357,11.7952,283.1389504,83.65149273,0.174283284,active
0.12890885,62.84186789,1644.32,636.7399651,5656.4608,2.38,2.38,2190.38548,848.196199,18.02199301,-0.297980163,1822.3744,7.5392,7.5392,14.46944487,59.34712671,0.341018197,3.68,0.416061822,11.7952,221.0467755,62.84186789,0.176554733,active
0.211711784,75.5233775,1664.96,644.7325169,5727.4624,1.357916667,1.357916667,2217.879858,858.8430132,22.96609427,-0.536669703,1834.208,3.8505,3.8505,25.00156493,65.92653909,0.291540694,1.92,0.367199686,6.03075,241.5646728,75.5233775,0.246980032,active
0.112198893,89.39679726,1644.32,636.7399651,5656.4608,2.38,2.38,2190.38548,848.196199,18.04021163,-0.298005307,1822.3744,7.5392,7.5392,14.47952325,81.99711634,0.153638178,3.68,0.205301943,11.7952,313.4204336,89.39679726,0.149276613,active
