name,HM_B_AB_nCi_2_SS1_X_LGP[1_2_6]_h-s_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS2_H_A_LGP[1_2_6]_h_MAS,GM_F_AB_Ci(2.0_-2.0)_2_SS2_H_T_LGP[1-3]_e_MAS,HM_B_AB_nCi_2_SS6_G_LGP[1-3]_e-s_MAS,HM_F_BB_Ci(2.0_-2.0)_2_NS6_H_C_LGP[1]_p_MAS,MN_B_AB_nCi_2_NS1_T_LGP[1]_c-m_MAS,N3_B_AB_nCi_2_SS2_H_n_T_LGP[1]_c-m_MAS,I50_Q_AB_nCi_2_SS1_C_LGP[1]_m_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS3_H_A_LGP[2-4]_h_MAS,MX_B_AB_nCi_2_SS4_H_n_X_LGP[2-4]_p-h_MAS,P3_Q_AB_Ci(2.0_-2.0)_2_MP7_T_LGP[2-4]_p_MAS,P2_B_AB_nCi_2_SS3_H_T_LGP[2-4]_c-m_MAS,P3_B_BB_Ci(2.0_-2.0)_2_SS4_H_T_LGP[4-6]_e-s_MAS,MX_B_AB_nCi_2_NS1_A_LGP[1]_c-m_MAS,MX_B_AB_nCi_2_SS2_H_n_X_LGP[2-4]_h-s_MAS,N2_B_AB_nCi_2_NS4_T_LGP[4-6]_c-m_MAS,Q2_B_AB_nCi_2_SS8_P_LGP[4-6]_m-s_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_LGP[2-4]_h_MAS,RA_B_AB_nCi_2_MP5_P_LGP[4-6]_e-s_MAS,I50_F_AB_nCi_2_NS1_n_P_LGP[1_2_6]_m_MAS,RA_Q_AB_nCi_2_NS5_A_LGP[4-6]_h_MAS,N3_B_AB_nCi_2_NS1_T_KA_c-m_MAS,HM_B_AB_nCi_2_SS1_X_KA_h-s_MAS,RA_B_AB_nCi_2_SS4_X_SRW_c-p_MAS,P2_Q_BB_Ci(2.0_-2.0)_2_NS4_H_A_KA_p_MAS,K_B_AB_nCi_2_NS3_T_NSRW_h-s_MAS,K_B_AB_nCi_2_SS8_T_NSRW_e-h_MAS,N3_Q_AB_nCi_2_NS8_n_T_KA_c_MAS,HM_F_BB_Ci(2.0_-2.0)_2_SS5_H_A_SRW_p_MAS,K_Q_AB_Ci(2.0_-2.0)_2_NS3_H_n_T_KA_h_MAS,RA_B_AB_nCi_2_NS6_H_n_D_SRW_m-p_MAS,HM_B_BB_nCi_2_NS0_H_A_SRW_m-e_MAS,RA_B_AB_nCi_2_SS4_A_SRW_c-p_MAS,HM_B_AB_nCi_2_SS4_M_SRW_p-h_MAS,MX_F_BB_nCi_2_NS1_H_X_NSRW_m_MAS,RA_B_AB_nCi_2_NS8_H_n_D_SRW_m-e_MAS,RA_Q_AB_nCi_2_NS8_H_n_D_SRW_e_MAS,HM_F_BB_Ci(2.0_-2.0)_2_NS5_H_A_SRW_e_MAS,P3_F_BB_nCi_2_NS4_H_A_KA_h_MAS,SD_Q_AB_nCi_2_MP6_P_NSRW_m_MAS,I50_B_AB_nCi_2_SS1_P_KA_h-s_MAS,RA_Q_AB_nCi_2_NS7_H_n_D_SRW_m_MAS,RA_F_AB_nCi_2_NS6_H_n_D_SRW_e_MAS,RA_F_AB_nCi_2_NS6_H_n_D_SRW_m_MAS,RA_Q_AB_nCi_2_NS6_H_n_D_SRW_e_MAS,MX_F_AB_nCi_2_SS1_n_X_LGP[1-3]_e_MAS,MX_F_AB_nCi_2_SS1_n_X_NSRW_e_MAS,RA_B_AB_nCi_2_NS6_H_n_D_SRW_m-e_MAS,RA_Q_AB_nCi_2_NS6_H_n_D_SRW_m_MAS,HM_F_BB_nCi_2_NS4_H_A_SRW_e_MAS,MN_B_AB_nCi_2_NS1_A_LGP[1]_c-m_MAS,MN_B_AB_nCi_2_NS1_A_NSRW_c-m_MAS,MN_B_AB_nCi_2_NS1_A_KA_c-m_MAS,P3_B_BB_Ci(2.0_-2.0)_2_NS4_H_A_LGP[1_2_6]_p-h_MAS,RA_Q_AB_nCi_2_NS7_H_n_D_SRW_e_MAS,MN_B_AB_nCi_2_NS1_T_NSRW_c-m_MAS,MX_B_AB_nCi_2_NS3_D_LGP[1]_m-e_MAS,RA_Q_AB_nCi_2_NS8_H_n_D_SRW_m_MAS,MX_Q_AB_nCi_2_NS3_D_LGP[1]_e_MAS,HM_Q_BB_nCi_2_SS2_H_A_SRW_e_MAS,HM_Q_BB_Ci(2.0_-2.0)_2_SS2_H_A_SRW_e_MAS,RA_B_AB_nCi_2_NS7_H_n_D_SRW_m-e_MAS,P3_B_BB_Ci(2.0_-2.0)_2_NS2_H_A_LGP[1-3]_p-h_MAS,P3_B_BB_Ci(2.0_-2.0)_2_NS2_H_A_LGP[1_2_6]_p-h_MAS,RA_Q_AB_nCi_2_NS5_H_n_D_SRW_e_MAS,MX_Q_AB_nCi_2_SS1_n_X_NSRW_e_MAS,MX_Q_AB_nCi_2_SS1_n_X_LGP[1-3]_e_MAS,HM_B_BB_nCi_2_SS2_H_A_SRW_e-p_MAS,HM_B_BB_Ci(2.0_-2.0)_2_SS2_H_A_SRW_e-p_MAS,GM_F_BB_nCi_2_NS5_H_A_SRW_h_MAS,GM_F_BB_Ci(2.0_-2.0)_2_NS5_H_A_SRW_h_MAS,HM_F_BB_Ci(2.0_-2.0)_2_NS5_H_A_SRW_m_MAS,HM_F_BB_nCi_2_NS5_H_A_SRW_m_MAS,HM_F_BB_nCi_2_NS5_H_A_SRW_e_MAS,MN_B_AB_nCi_2_NS1_X_KA_c-m_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_LGP[1-3]_h_MAS,MX_B_AB_nCi_2_SS2_H_n_X_LGP[2-4]_p-h_MAS,MN_B_AB_nCi_2_NS1_n_X_LGP[1-3]_c-m_MAS,MN_B_AB_nCi_2_NS1_n_X_NSRW_c-m_MAS,MN_B_AB_nCi_2_NS1_X_LGP[1]_c-m_MAS,MN_B_AB_nCi_2_NS1_X_NSRW_c-m_MAS,Q2_B_AB_nCi_2_NS7_P_SRW_e-h_MAS,RA_B_BB_nCi_2_SS3_H_D_SRW_p-h_MAS,I50_B_AB_nCi_2_MP3_P_KA_m-e_MAS,I50_F_AB_nCi_2_MP1_P_KA_p_MAS,Q3_F_BB_nCi_2_SS8_H_P_SRW_s_MAS,RA_B_AB_nCi_2_SS3_n_C_SRW_p-s_MAS,I50_B_BB_nCi_2_NS7_H_P_SRW_e-p_MAS,Q3_Q_BB_nCi_2_SS6_H_P_SRW_e_MAS,V_F_AB_nCi_2_SS4_A_NSRW_e_MAS,MX_F_AB_nCi_2_NS2_H_n_X_LGP[2-4]_e_MAS,MX_F_AB_nCi_2_NS2_D_KA_e_MAS,RA_B_AB_nCi_2_SS3_A_SRW_m-e_MAS,MX_B_AB_nCi_2_NS2_D_KA_m-e_MAS,MX_Q_AB_nCi_2_NS2_D_KA_e_MAS,HM_B_BB_Ci(2.0_-2.0)_2_SS5_A_KA_e-s_MAS,MX_Q_AB_nCi_2_NS2_H_n_X_LGP[2-4]_e_MAS,RA_F_AB_nCi_2_SS3_A_SRW_m_MAS,V_Q_AB_nCi_2_SS4_A_LGP[2-4]_e_MAS,MX_F_AB_nCi_2_SS2_H_n_X_LGP[2-4]_s_MAS,MX_B_AB_nCi_2_SS2_H_n_X_LGP[2-4]_e-s_MAS,P2_F_AB_Ci(2.0_-2.0)_2_NS2_A_KA_e_MAS,MN_F_AB_nCi_2_SS6_P_KA_e_MAS,SD_B_AB_nCi_2_MP5_T_LGP[2-4]_e-p_MAS,MX_F_AB_nCi_2_SS1_A_NSRW_e_MAS,MX_F_AB_nCi_2_SS1_A_LGP[1]_e_MAS,SD_B_AB_nCi_2_MP7_T_LGP[2-4]_e-p_MAS,RA_B_AB_nCi_2_NS7_A_LGP[4-6]_e-h_MAS,MX_Q_AB_nCi_2_SS1_A_LGP[1]_e_MAS,RA_B_AB_nCi_2_NS2_n_C_SRW_p-s_MAS,RA_B_AB_nCi_2_NS5_A_LGP[4-6]_e-h_MAS,RA_F_AB_nCi_2_SS1_A_NSRW_e_MAS,MX_F_AB_nCi_2_SS2_H_n_X_LGP[2-4]_e_MAS,MX_F_AB_nCi_2_SS2_H_n_X_LGP[2-4]_p_MAS,P3_B_AB_Ci(2.0_-2.0)_2_NS3_C_NSRW_m-s_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS5_H_A_LGP[1_2_6]_h_MAS,RA_B_AB_nCi_2_NS6_H_n_D_SRW_c-m_MAS,RA_B_AB_nCi_2_NS6_H_n_D_SRW_e-c_MAS,HM_F_BB_nCi_2_SS5_H_A_SRW_p_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_KA_h_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_LGP[1_2_6]_h_MAS,GM_F_BB_Ci(2.0_-2.0)_2_SS5_H_A_SRW_p_MAS,GM_F_BB_nCi_2_SS5_H_A_SRW_p_MAS,HM_F_BB_nCi_2_SS7_H_A_SRW_p_MAS,HM_F_BB_Ci(2.0_-2.0)_2_SS7_H_A_SRW_p_MAS,P3_B_BB_Ci(2.0_-2.0)_2_NS2_H_A_LGP[2-4]_p-h_MAS,classreal,Class
766,0.407530328,5.751362653,1.686941618,0.129483184,1729.299147,-1.091532795,-0.058053998,0.742954569,12.47378648,5.114557665,2.482514894,0.02201894,0.067679147,0.866113314,0.884029365,5.83351004,0.044232538,62.59615086,0.004372912,2,17.54781269,2.163958588,0.407530328,2.050957547,2972.41661,-0.205087654,0.269773087,384.6312299,0.483420884,2.731236582,5254.041191,1.507791414,0.495931123,0,4.028359185,24642.63708,64238.3616,105.6856551,110.7024005,0.029354923,0.964728833,2154.208797,1322.4,507.2891409,4020.096,3.3875,3.3875,1542.158988,591.5914311,43.73922442,-0.545766398,-0.545766398,-0.545766398,430.7635642,14638.6944,-1.091532795,44.63880862,9453.223074,70.2696,1.027680749,1.027680749,5615.585834,29.60240008,29.60240008,868.7104,10.0421125,10.0421125,2.937969474,2.937969474,39.68622181,39.68622181,32.36889049,32.36889049,105.6856551,-1.091532795,98.82084815,4.216061493,-1.091532795,-1.091532795,-1.091532795,-1.091532795,0,1.162578801,0.1517,0.46835607,0.046156174,1.531616285,2877.36768,0.173681812,0.642981305,24.955,20.715,0.847963202,24.15745875,62.9736,0.399699971,77.0216,0.268342785,6.62416619,0.598402388,1.573288262,17.49773124,0,0.334105559,2.451666667,2.451666667,0.425651197,1032.799476,7.224,51.46230716,40.35740006,2.451666667,1.484978632,4.051035133,7.130811175,346.7732054,68.12882008,177.5980292,0.483420884,110.7024005,86.96583371,0.498834218,0.498834218,0.392653188,0.392653188,17.89789148,active,1
767,0.464076749,4.000386316,1.602615779,0,2472.945214,-1.091869931,-0.043529793,0,6.284650793,5.360988868,2.307344832,0.022417091,0.084045822,0.860243931,0.464768524,5.005503455,0.04670483,29.48621056,0.00418048,1.5,22.29054883,1.95569109,0.464076749,2.03496249,2511.128024,-0.218679394,-0.296283596,424.6327858,0.405424611,3.517874427,5731.856177,1.362771203,0.412402934,1.776094869,4.028359185,23738.61284,61881.7536,50.16893079,61.12672852,0.024030604,0.854278419,2057.650196,1285.92,493.2949577,3909.1968,3.3875,3.3875,1499.616672,575.2716674,31.5362611,-0.545934965,-0.545934965,-0.545934965,276.8440695,13982.5408,-1.091869931,44.63880862,9106.428097,70.2696,1.114309165,1.114309165,5363.877125,22.45690729,22.45690729,840.9856,10.0421125,10.0421125,3.341564345,3.341564345,27.71689078,27.71689078,14.3437484,14.3437484,50.16893079,-1.091869931,49.85157294,4.637862493,-1.091869931,-1.091869931,-1.091869931,-1.091869931,0,1.607889093,0.108262477,0.351348958,0.046638758,0,4267.116406,0.225245761,0.485259218,23.695,18.565,0.32229028,21.65016759,56.4376,0.298221554,77.0216,0.106016539,4.648731096,0.488533008,1.507683539,18.62434457,0.142286466,0.226434831,2.3125,2.3125,0.296162459,1343.468776,7.224,18.26668095,52.25575409,2.3125,1.421055556,4.547157964,4.49871575,168.472801,77.20617719,201.2608599,0.405424611,61.12672852,47.34580222,0.466683933,0.466683933,0.351906813,0.351906813,11.9917597,active,1
768,0.418485924,5.161681369,1.622733144,0,2113.643274,-1.091535831,-0.053037896,0.75,8.651281311,5.250108348,2.365273428,0.021201035,0.081309696,0.865989623,0.56595208,5.37707113,0.044562141,39.7425708,0.004654117,2,17.63778882,2.125584869,0.418485924,1.996608768,2375.746759,-0.099360461,0.116939574,404.6202229,0.478162744,6.094602739,5173.7072,1.402097642,0.46666599,2.992182337,4.028359185,24628.45631,64201.3952,87.31598791,84.53821705,0.029774362,0.966890252,2152.848817,1322.4,507.2891409,4020.096,3.3875,3.3875,1542.158988,591.5914311,37.78453579,-0.545767915,-0.545767915,-0.545767915,339.9838424,14629.4528,-1.091535831,44.63880862,9447.783153,70.2696,1.144350103,1.144350103,5612.040641,26.088106,26.088106,868.7104,10.0421125,10.0421125,3.051937506,3.051937506,38.79156545,38.79156545,19.99359031,19.99359031,87.31598791,-1.091535831,74.38690782,4.143246417,-1.091535831,-1.091535831,-1.091535831,-1.091535831,0,1.575572085,0.161816239,0.461057454,0.04533014,1.493808497,3057.817714,0.162138055,0.694031722,24.955,20.715,0.32229028,24.15745875,62.9736,0.348729794,77.0216,0.106016539,6.852671469,0.493826887,1.572850472,20.613363,0,0.341464453,2.3125,2.3125,0.418821169,970.2020779,7.224,48.3993953,37.28499411,2.3125,1.484978632,3.979737921,6.694096258,254.8943048,69.08055072,180.0789982,0.478162744,84.53821705,68.5726834,0.490348117,0.490348117,0.388871623,0.388871623,14.49103492,active,1
770,0.458234121,3.493613405,1.659866789,0.130074307,2642.487189,-1.091869921,-0.036957375,0.1875,6.418639713,5.305760066,2.415600924,0.018655249,0.064030872,0.860244937,0.463918916,5.017094899,0.053075391,27.9850293,0.004230254,1.5,21.91267771,1.966734087,0.458234121,2.047223409,2595.726955,-0.423180758,-0.312712253,423.7311633,0.425450185,3.028475048,5735.451835,1.528324053,0.414330354,2.994342423,4.028359185,23738.61284,61881.7536,50.08110336,58.32164721,0.02479063,0.852076281,2057.650196,1285.92,493.2949577,3909.1968,3.3875,3.3875,1499.616672,575.2716674,33.07639953,-0.54593496,-0.54593496,-0.54593496,281.4150306,13982.5408,-1.091869921,44.63880862,9106.428097,70.2696,1.062942861,1.062942861,5363.877125,22.31277399,22.31277399,840.9856,10.0421125,10.0421125,3.43620607,3.43620607,26.60592509,26.60592509,18.59517419,18.59517419,50.08110336,-1.091869921,48.75001358,4.648417632,-1.091869921,-1.091869921,-1.091869921,-1.091869921,0,1.342420871,0.108471536,0.366619943,0.048668248,0,5033.994816,0.231497326,0.459118692,23.695,18.565,0.847963202,21.65016759,56.4376,0.259052946,77.0216,0.268342785,4.403826337,0.485644128,1.498696947,18.62860119,0.039225205,0.266583453,2.3125,2.3125,0.339183786,1341.80444,7.224,10.86561356,52.33363512,2.3125,1.421055556,4.548755995,4.034226578,164.1546532,77.20623461,201.2610096,0.425450185,58.32164721,45.64658698,0.502344452,0.502344452,0.383392848,0.383392848,13.63589536,active,1
771,0.45449556,3.837841918,1.600173758,0,3264.978221,-1.091869966,-0.037050757,0.125,6.214633459,5.6034569,2.263406587,0.018837422,0.079669367,0.860240396,0.468090808,5.106185972,0.046292834,28.47004324,0.004083667,2,24.48718865,1.953456862,0.45449556,2.02878241,2505.14299,0.080065964,-0.02992977,426.6268125,0.373553587,4.660271201,5753.761556,1.377752533,0.411432327,1.613550496,4.028359185,23738.61284,61881.7536,47.69316976,57.18845181,0.023901812,0.973419472,2057.650196,1285.92,493.2949577,3909.1968,3.3875,3.3875,1499.616672,575.2716674,32.55152489,-0.545934983,-0.545934983,-0.545934983,313.4804247,13982.5408,-1.091869966,44.63880862,9106.428097,70.2696,0.976838438,0.976838438,5363.877125,24.27575748,24.27575748,840.9856,10.0421125,10.0421125,3.253602208,3.253602208,24.35769862,24.35769862,17.02852815,17.02852815,47.69316976,-1.091869966,48.84278441,4.616897626,-1.091869966,-1.091869966,-1.091869966,-1.091869966,0,1.37813473,0.099740144,0.381159433,0.049147031,0,4356.770896,0.203613636,0.52683046,23.695,18.565,0,21.65016759,56.4376,0.191641368,77.0216,0,5.100486201,0.4995313,1.541363348,21.91362025,0.129728429,0.224550088,2.3125,2.3125,0.29220009,1230.012429,7.224,33.8006819,52.68866231,2.3125,1.421055556,4.57259184,6.797695405,183.6734181,77.20612233,201.2607169,0.373553587,57.18845181,50.88435425,0.458856599,0.458856599,0.322104792,0.322104792,13.31407965,active,1
772,0.392461073,4.940146383,1.627940955,0,1715.825675,-1.091534961,-0.052836749,0.666666667,12.14065832,5.0220894,2.149895707,0.019710314,0.078419858,0.866023089,0.513572792,6.548714122,0.033681266,56.89336611,0.003948517,2,19.22255885,2.125293965,0.392461073,2.101683968,2903.700326,0.61781086,0.288289708,408.1354646,0.403913698,3.408058867,5364.654003,1.385427448,0.545488497,1.242573694,4.028359185,24660.36304,64284.5696,92.91946638,91.79248892,0.027290877,0.96555765,2154.208797,1322.4,507.2891409,4020.096,3.3875,3.3875,1542.158988,591.5914311,40.08800413,-0.545767481,-0.545767481,-0.545767481,425.5937087,14638.6944,-1.091534961,44.63880862,9460.022976,70.2696,0.913170422,0.913170422,5615.585834,27.29051801,27.29051801,868.7104,10.0421125,10.0421125,2.701237309,2.701237309,33.00757681,33.00757681,31.9812673,31.9812673,92.91946638,-1.091534961,84.60021695,4.184399276,-1.091534961,-1.091534961,-1.091534961,-1.091534961,0,1.154443045,0.1368,0.41073423,0.038086808,1.598682924,3920.337557,0.152590078,0.630051179,24.955,19.195,0,22.38486221,58.3528,0.132886971,77.0216,0,6.396928177,0.522038868,1.570706938,21.11677577,0.002203905,0.248471296,2.3125,2.3125,0.334907175,1105.990021,7.224,57.55258525,44.7464179,2.3125,1.463055556,4.073678548,8.837704968,312.1641161,67.82978318,176.8185006,0.403913698,91.79248892,78.7397068,0.438145162,0.438145162,0.343297369,0.343297369,17.29969853,active,1
774,0.461232599,3.900529579,1.575091118,0,3265.762911,-1.091869931,-0.042863288,0.125,5.967081478,5.548373021,2.257063752,0.022138625,0.092612737,0.860243931,0.467838734,5.154055352,0.046522782,28.26607008,0.004292387,1.5,22.36901223,1.955599817,0.461232599,2.040806393,2457.047534,0.091542734,-0.020793554,424.630718,0.394669556,4.934675301,5770.626077,1.362771203,0.413321742,1.600451242,4.028359185,23738.61284,61881.7536,50.16893079,58.34732663,0.023357952,0.856435714,2057.650196,1285.92,493.2949577,3909.1968,3.3875,3.3875,1499.616672,575.2716674,31.5362611,-0.545934965,-0.545934965,-0.545934965,275.4111592,13982.5408,-1.091869931,44.63880862,9106.428097,70.2696,1.114309165,1.114309165,5363.877125,22.16215501,22.16215501,840.9856,10.0421125,10.0421125,3.380578103,3.380578103,26.53484791,26.53484791,14.3437484,14.3437484,50.16893079,-1.091869931,47.73485694,4.572226639,-1.091869931,-1.091869931,-1.091869931,-1.091869931,0,1.545006885,0.104617276,0.339041992,0.047896339,0,4269.395287,0.195254132,0.479659871,23.695,18.565,0.32229028,21.65016759,56.4376,0.275338413,77.0216,0.106016539,4.589490703,0.505526539,1.559817126,18.62434457,0.129722763,0.227424907,2.3125,2.3125,0.294801096,1254.131412,7.224,34.00321582,48.79443405,2.3125,1.421055556,4.587382682,6.850163785,166.3742874,77.20611815,201.260706,0.394669556,58.34732663,46.6515196,0.460695963,0.460695963,0.332949954,0.332949954,11.73927747,active,1
775,0.371656145,5.808989387,1.644666482,0,1634.937685,-1.091532851,-0.059006726,0.742954569,11.67828274,4.610242461,2.270990064,0.021520924,0.082613696,0.866107716,0.85207378,5.80681634,0.043328923,55.62596423,0.00443625,2,16.54756607,2.155798868,0.371656145,2.096205466,3281.292376,-0.462492562,-0.158522719,391.8311763,0.499085277,2.376142057,5293.696934,1.396574448,0.545702285,1.138786099,4.028359185,24642.63708,64238.3616,108.1685293,100.7106807,0.028142741,0.965587625,2154.208797,1322.4,507.2891409,4020.096,3.3875,3.3875,1542.158988,591.5914311,44.351231,-0.545766425,-0.545766425,-0.545766425,466.3468869,14638.6944,-1.091532851,44.63880862,9453.223074,70.2696,0.964962655,0.964962655,5615.585834,32.02455995,32.02455995,868.7104,10.0421125,10.0421125,2.905561448,2.905561448,37.90855691,37.90855691,30.8264945,30.8264945,108.1685293,-1.091532851,93.02261743,4.053334315,-1.091532851,-1.091532851,-1.091532851,-1.091532851,0,1.200107233,0.148110236,0.409965567,0.03847902,1.576982698,3917.177584,0.15270294,0.663366007,24.955,20.715,0,24.15745875,62.9736,0.140449857,77.0216,0,6.860830152,0.626961626,1.625240693,20.08824314,0,0.320467927,2.451666667,2.451666667,0.415046144,977.555079,7.224,52.98661864,40.03744491,2.451666667,1.484978632,4.366032504,6.248846305,333.6833673,68.12882247,177.5980354,0.499085277,100.7106807,86.00855768,0.511109271,0.511109271,0.411122522,0.411122522,18.69037591,active,1
776,0.441034178,5.849792555,1.631986861,0,1316.220482,-1.091532834,-0.050082686,0.75,9.569550519,4.743844613,2.317858013,0.019551583,0.072853993,0.866109431,0.507399899,5.295390762,0.044295774,41.81597184,0.004500591,2,18.47535019,2.17250125,0.441034178,1.997922433,2483.013063,-0.577032653,0.120672843,387.0299578,0.496047712,3.683798921,5165.531126,1.449950942,0.466232183,1.65999765,4.028359185,24642.63708,64238.3616,99.46036957,86.90224648,0.029011724,0.965733765,2154.208797,1322.4,507.2891409,4020.096,3.3875,3.3875,1542.158988,591.5914311,41.28874902,-0.545766417,-0.545766417,-0.545766417,380.3253337,14638.6944,-1.091532834,44.63880862,9453.223074,70.2696,1.112086764,1.112086764,5615.585834,30.11766669,30.11766669,868.7104,10.0421125,10.0421125,3.029730173,3.029730173,37.93273741,37.93273741,25.77795352,25.77795352,99.46036957,-1.091532834,80.36386173,4.01969491,-1.091532834,-1.091532834,-1.091532834,-1.091532834,0,1.191740947,0.158067227,0.441670703,0.037992608,1.451608521,3911.469901,0.15270294,0.712172166,24.955,20.715,0,24.15745875,62.9736,0.126558491,77.0216,0,7.391960459,0.499824074,1.590945112,21.67730691,0,0.345932843,2.3125,2.3125,0.426378558,1017.100703,7.224,47.90308121,42.42321523,2.3125,1.484978632,3.972383437,5.440044434,287.7332875,68.13189233,177.6060379,0.496047712,86.90224648,78.01985436,0.506486305,0.506486305,0.408419339,0.408419339,17.89423132,active,1
778,0.346398926,5.016664153,1.635454689,0,1072.963273,-1.091535872,-0.053783794,0.3125,9.073013101,5.186444204,1.912584651,0.02009545,0.077864369,0.865985488,0.550692581,5.618032983,0.047056914,38.67782566,0.003758689,2.666045989,16.75190602,2.119917412,0.346398926,2.016242862,2571.329575,1.418540231,1.703166425,421.0627082,0.472331846,4.514324371,5201.528839,1.523655032,0.477828682,1.099468724,4.028359185,24628.45631,64201.3952,95.09488558,79.66238447,0.022046621,0.971333925,2152.848817,1322.4,507.2891409,4020.096,3.3875,3.3875,1542.158988,591.5914311,41.24271022,-0.545767936,-0.545767936,-0.545767936,338.8579085,14629.4528,-1.091535872,44.63880862,9447.783153,70.2696,1.101045759,1.101045759,5612.040641,26.71912838,26.71912838,868.7104,10.0421125,10.0421125,2.994161074,2.994161074,35.06066517,35.06066517,28.9697659,28.9697659,95.09488558,-1.091535872,70.32179415,4.079484343,-1.091535872,-1.091535872,-1.091535872,-1.091535872,348.0981325,1.21084401,0.109510937,0.38109806,0.056221521,1.64553325,4421.81219,0.470021441,0.654680102,24.955,20.715,0,24.15745875,62.9736,0.13513182,77.0216,0,6.65952725,0.501751542,1.59753166,20.93774164,0.149420151,0.227300053,2.3125,2.3125,0.305182033,894.194021,7.224,53.3152773,36.34606141,2.3125,1.484978632,4.004482647,6.301988957,232.4908995,68.66786961,179.0032221,0.472331846,79.66238447,64.88986554,0.491076819,0.491076819,0.421142092,0.421142092,16.22746944,active,1
779,0.312534279,5.314640246,1.706829304,0,2073.592817,-1.091713291,-0.059844162,0,8.806426505,4.899916409,1.862719769,0.025263711,0.078870869,0.862835518,0.770460532,3.946995675,0.061026214,40.04884905,0.003851278,2,30.78787462,1.809433583,0.333414238,2.198285764,2268.806656,0.036430475,-0.894430059,420.2003365,0.446027027,3.553528488,5188.831816,1.457257892,0.681730413,2.0857736,4.028359185,23816.60709,62085.0688,74.99645498,83.92232346,0.021260177,0.97546911,2137.889034,1292,495.6273216,3927.68,3.3875,3.3875,1506.707058,577.991628,40.01129833,-0.545856645,-0.545856645,-0.545856645,333.0977126,14527.7952,-1.091713291,44.63880862,9136.347664,62.5176,1.041487682,1.041487682,5573.043517,24.99092991,24.99092991,914.9184,10.0421125,10.0421125,2.749954543,2.749954543,29.9128809,29.9128809,26.96273648,26.96273648,74.99645498,-1.091713291,73.82335521,3.619716905,-1.091713291,-1.091713291,-1.091713291,-1.091713291,0,1.213793245,0.092861514,0.338657438,0.052745579,0.36056997,3519.587987,0.266600611,0.472107979,22.39,18.55,0.775510986,21.63267486,56.392,0.282065414,77.0216,0.255102298,4.316129457,0.417569977,1.309637376,18.45337982,0.088710664,0.229759809,2.3125,2.3125,0.287931684,1614.645874,7.224,7.211399399,73.66340259,2.3125,1.37271875,3.540486051,2.918176744,263.1948369,73.09891345,190.5540556,0.446027027,83.92232346,71.64169377,0.465179634,0.465179634,0.404503718,0.404503718,14.65122288,active,1
780 C1  Cyclocarposide,0.432686791,3.954761261,1.598660999,0,1819.455429,-1.091869897,-0.048396007,0.499534491,6.529443098,5.232904488,2.225457589,0.020301744,0.079886912,0.860247333,0.489390607,5.073731434,0.053208712,28.65161669,0.004323412,2,20.96886884,1.936111769,0.432686791,2.036089345,2353.416596,-0.535144011,-0.299203935,432.4987367,0.41687766,2.940977175,5731.937108,1.48529601,0.412579084,1.623075987,4.028359185,23738.61284,61881.7536,53.55423152,59.93158299,0.024001999,0.967073749,2057.650196,1285.92,493.2949577,3909.1968,3.3875,3.3875,1499.616672,575.2716674,35.27723342,-0.545934948,-0.545934948,-0.545934948,277.2818919,13982.5408,-1.091869897,44.63880862,9106.428097,70.2696,1.058293374,1.058293374,5363.877125,22.28769822,22.28769822,840.9856,10.0421125,10.0421125,3.206227809,3.206227809,26.60778293,26.60778293,19.28023554,19.28023554,53.55423152,-1.091869897,51.29126768,4.52966903,-1.091869897,-1.091869897,-1.091869897,-1.091869897,0,1.300159279,0.108165529,0.390707974,0.046303782,0.242424289,4258.260527,0.181326651,0.475070996,23.695,18.565,0.327314029,21.65016759,56.4376,0.289036842,77.0216,0.095149427,4.347130543,0.499356886,1.541010387,18.75697918,0.03581327,0.25506569,2.3125,2.3125,0.324977443,1261.577428,7.224,14.9102345,50.0882586,2.3125,1.421055556,4.547228944,4.134537599,172.4024488,77.2062324,201.2610038,0.41687766,59.93158299,48.81352707,0.485373974,0.485373974,0.377320891,0.377320891,13.81081613,active,1
